route_id,n_nodes,qubit_count,exploration_percent,batch_count,xy_mixer,amazon_cost,hybrid_cost,cost_diff_abs,cost_diff_pct,improvement_pct,runtime_sec
RouteID_44f05e18-630d-48e2-b07f-ae93261c1ba3,129,2,0.2,1,False,7585.4,9886.3,2300.9,30.33,-30.33,4.281
RouteID_44f05e18-630d-48e2-b07f-ae93261c1ba3,129,2,0.2,2,False,7585.4,10600.4,3015.0,39.75,-39.75,2.128
RouteID_44f05e18-630d-48e2-b07f-ae93261c1ba3,129,3,0.0,1,False,7585.4,9799.3,2213.9,29.19,-29.19,9.552
RouteID_44f05e18-630d-48e2-b07f-ae93261c1ba3,129,3,0.0,2,False,7585.4,9415.0,1829.6,24.12,-24.12,4.813
RouteID_44f05e18-630d-48e2-b07f-ae93261c1ba3,129,3,0.0,3,False,7585.4,9637.7,2052.3,27.06,-27.06,3.191
RouteID_44f05e18-630d-48e2-b07f-ae93261c1ba3,129,3,0.2,1,False,7585.4,9799.3,2213.9,29.19,-29.19,9.565
RouteID_44f05e18-630d-48e2-b07f-ae93261c1ba3,129,3,0.2,2,False,7585.4,9415.0,1829.6,24.12,-24.12,4.738
RouteID_44f05e18-630d-48e2-b07f-ae93261c1ba3,129,3,0.2,3,False,7585.4,9637.7,2052.3,27.06,-27.06,3.192
RouteID_9ccf2568-7f63-47a7-9fed-f5f90c623594,191,2,0.0,1,False,11166.0,13189.5,2023.5,18.12,-18.12,6.686
RouteID_9ccf2568-7f63-47a7-9fed-f5f90c623594,191,2,0.0,2,False,11166.0,15555.5,4389.5,39.31,-39.31,3.283
RouteID_9ccf2568-7f63-47a7-9fed-f5f90c623594,191,2,0.2,1,False,11166.0,13189.5,2023.5,18.12,-18.12,6.66
RouteID_9ccf2568-7f63-47a7-9fed-f5f90c623594,191,2,0.2,2,False,11166.0,15555.5,4389.5,39.31,-39.31,3.303
RouteID_9ccf2568-7f63-47a7-9fed-f5f90c623594,191,3,0.0,1,False,11166.0,13345.7,2179.7,19.52,-19.52,14.464
RouteID_9ccf2568-7f63-47a7-9fed-f5f90c623594,191,3,0.0,2,False,11166.0,13621.7,2455.7,21.99,-21.99,7.34
RouteID_9ccf2568-7f63-47a7-9fed-f5f90c623594,191,3,0.0,3,False,11166.0,14817.9,3651.9,32.71,-32.71,4.943
RouteID_9ccf2568-7f63-47a7-9fed-f5f90c623594,191,3,0.2,1,False,11166.0,13345.7,2179.7,19.52,-19.52,14.515
RouteID_9ccf2568-7f63-47a7-9fed-f5f90c623594,191,3,0.2,2,False,11166.0,13621.7,2455.7,21.99,-21.99,7.292
RouteID_9ccf2568-7f63-47a7-9fed-f5f90c623594,191,3,0.2,3,False,11166.0,14817.9,3651.9,32.71,-32.71,4.909
RouteID_d896ed72-28ef-4132-a815-d6e45a5c349f,152,2,0.0,1,False,11072.8,12155.3,1082.5,9.78,-9.78,5.224
RouteID_d896ed72-28ef-4132-a815-d6e45a5c349f,152,2,0.0,2,False,11072.8,11758.8,686.0,6.2,-6.2,2.669
RouteID_d896ed72-28ef-4132-a815-d6e45a5c349f,152,2,0.2,1,False,11072.8,12155.3,1082.5,9.78,-9.78,5.268
RouteID_d896ed72-28ef-4132-a815-d6e45a5c349f,152,2,0.2,2,False,11072.8,11758.8,686.0,6.2,-6.2,2.719
RouteID_d896ed72-28ef-4132-a815-d6e45a5c349f,152,3,0.0,1,False,11072.8,10690.2,-382.6,-3.46,3.46,11.675
RouteID_d896ed72-28ef-4132-a815-d6e45a5c349f,152,3,0.0,2,False,11072.8,11403.8,331.0,2.99,-2.99,5.884
RouteID_d896ed72-28ef-4132-a815-d6e45a5c349f,152,3,0.0,3,False,11072.8,11990.0,917.2,8.28,-8.28,4.0
RouteID_d896ed72-28ef-4132-a815-d6e45a5c349f,152,3,0.2,1,False,11072.8,10690.2,-382.6,-3.46,3.46,11.711
RouteID_d896ed72-28ef-4132-a815-d6e45a5c349f,152,3,0.2,2,False,11072.8,11403.8,331.0,2.99,-2.99,5.856
RouteID_d896ed72-28ef-4132-a815-d6e45a5c349f,152,3,0.2,3,False,11072.8,11990.0,917.2,8.28,-8.28,4.104
RouteID_b2dcd3de-37b0-4e7e-8a7c-2762a3bf29d6,175,2,0.0,1,False,15531.0,16371.8,840.8,5.41,-5.41,6.023
RouteID_b2dcd3de-37b0-4e7e-8a7c-2762a3bf29d6,175,2,0.0,2,False,15531.0,15552.1,21.1,0.14,-0.14,3.293
RouteID_b2dcd3de-37b0-4e7e-8a7c-2762a3bf29d6,175,2,0.2,1,False,15531.0,16371.8,840.8,5.41,-5.41,6.078
RouteID_b2dcd3de-37b0-4e7e-8a7c-2762a3bf29d6,175,2,0.2,2,False,15531.0,15552.1,21.1,0.14,-0.14,3.251
RouteID_b2dcd3de-37b0-4e7e-8a7c-2762a3bf29d6,175,3,0.0,1,False,15531.0,14015.2,-1515.8,-9.76,9.76,13.702
RouteID_b2dcd3de-37b0-4e7e-8a7c-2762a3bf29d6,175,3,0.0,2,False,15531.0,15045.2,-485.8,-3.13,3.13,6.993
RouteID_b2dcd3de-37b0-4e7e-8a7c-2762a3bf29d6,175,3,0.0,3,False,15531.0,16328.3,797.3,5.13,-5.13,4.698
RouteID_b2dcd3de-37b0-4e7e-8a7c-2762a3bf29d6,175,3,0.2,1,False,15531.0,14015.2,-1515.8,-9.76,9.76,13.76
RouteID_b2dcd3de-37b0-4e7e-8a7c-2762a3bf29d6,175,3,0.2,2,False,15531.0,15045.2,-485.8,-3.13,3.13,6.862
RouteID_b2dcd3de-37b0-4e7e-8a7c-2762a3bf29d6,175,3,0.2,3,False,15531.0,16328.3,797.3,5.13,-5.13,4.62
RouteID_e8458ee8-5eba-4706-87c7-e0461d765203,174,2,0.0,1,False,13066.9,14101.1,1034.2,7.91,-7.91,6.006
RouteID_e8458ee8-5eba-4706-87c7-e0461d765203,174,2,0.0,2,False,13066.9,14066.8,999.9,7.65,-7.65,3.221
RouteID_e8458ee8-5eba-4706-87c7-e0461d765203,174,2,0.2,1,False,13066.9,14101.1,1034.2,7.91,-7.91,5.985
RouteID_e8458ee8-5eba-4706-87c7-e0461d765203,174,2,0.2,2,False,13066.9,14066.8,999.9,7.65,-7.65,3.204
RouteID_e8458ee8-5eba-4706-87c7-e0461d765203,174,3,0.0,1,False,13066.9,12555.3,-511.6,-3.92,3.92,13.49
RouteID_e8458ee8-5eba-4706-87c7-e0461d765203,174,3,0.0,2,False,13066.9,12918.3,-148.6,-1.14,1.14,6.913
RouteID_e8458ee8-5eba-4706-87c7-e0461d765203,174,3,0.0,3,False,13066.9,14597.5,1530.6,11.71,-11.71,4.544
RouteID_e8458ee8-5eba-4706-87c7-e0461d765203,174,3,0.2,1,False,13066.9,12555.3,-511.6,-3.92,3.92,13.431
RouteID_e8458ee8-5eba-4706-87c7-e0461d765203,174,3,0.2,2,False,13066.9,12918.3,-148.6,-1.14,1.14,6.946
RouteID_e8458ee8-5eba-4706-87c7-e0461d765203,174,3,0.2,3,False,13066.9,14597.5,1530.6,11.71,-11.71,4.576
RouteID_35149220-f0ed-42e9-a243-f573e8bcd6ea,134,2,0.0,1,False,8938.6,9486.2,547.6,6.13,-6.13,4.511
RouteID_35149220-f0ed-42e9-a243-f573e8bcd6ea,134,2,0.0,2,False,8938.6,9612.8,674.2,7.54,-7.54,2.351
RouteID_35149220-f0ed-42e9-a243-f573e8bcd6ea,134,2,0.2,1,False,8938.6,9486.2,547.6,6.13,-6.13,4.519
RouteID_35149220-f0ed-42e9-a243-f573e8bcd6ea,134,2,0.2,2,False,8938.6,9612.8,674.2,7.54,-7.54,2.418
RouteID_35149220-f0ed-42e9-a243-f573e8bcd6ea,134,3,0.0,1,False,8938.6,9238.9,300.3,3.36,-3.36,9.902
RouteID_35149220-f0ed-42e9-a243-f573e8bcd6ea,134,3,0.0,2,False,8938.6,8841.4,-97.2,-1.09,1.09,5.276
RouteID_35149220-f0ed-42e9-a243-f573e8bcd6ea,134,3,0.0,3,False,8938.6,10251.6,1313.0,14.69,-14.69,3.564
RouteID_35149220-f0ed-42e9-a243-f573e8bcd6ea,134,3,0.2,1,False,8938.6,9238.9,300.3,3.36,-3.36,10.115
RouteID_35149220-f0ed-42e9-a243-f573e8bcd6ea,134,3,0.2,2,False,8938.6,8841.4,-97.2,-1.09,1.09,5.26
RouteID_35149220-f0ed-42e9-a243-f573e8bcd6ea,134,3,0.2,3,False,8938.6,10251.6,1313.0,14.69,-14.69,3.344
RouteID_d1654375-aa99-49ee-b7d5-7addc3d7bef1,109,2,0.0,1,False,12000.7,11525.8,-474.9,-3.96,3.96,3.738
RouteID_d1654375-aa99-49ee-b7d5-7addc3d7bef1,109,2,0.0,2,False,12000.7,10885.7,-1115.0,-9.29,9.29,1.969
RouteID_d1654375-aa99-49ee-b7d5-7addc3d7bef1,109,2,0.2,1,False,12000.7,11525.8,-474.9,-3.96,3.96,3.763
RouteID_d1654375-aa99-49ee-b7d5-7addc3d7bef1,109,2,0.2,2,False,12000.7,10885.7,-1115.0,-9.29,9.29,1.989
RouteID_d1654375-aa99-49ee-b7d5-7addc3d7bef1,109,3,0.0,1,False,12000.7,10928.2,-1072.5,-8.94,8.94,934.697
RouteID_d1654375-aa99-49ee-b7d5-7addc3d7bef1,109,3,0.0,2,False,12000.7,11212.2,-788.5,-6.57,6.57,4.172
RouteID_d1654375-aa99-49ee-b7d5-7addc3d7bef1,109,3,0.0,3,False,12000.7,11677.6,-323.1,-2.69,2.69,2.904
RouteID_d1654375-aa99-49ee-b7d5-7addc3d7bef1,109,3,0.2,1,False,12000.7,10928.2,-1072.5,-8.94,8.94,8.134
RouteID_d1654375-aa99-49ee-b7d5-7addc3d7bef1,109,3,0.2,2,False,12000.7,11212.2,-788.5,-6.57,6.57,4.145
RouteID_d1654375-aa99-49ee-b7d5-7addc3d7bef1,109,3,0.2,3,False,12000.7,11677.6,-323.1,-2.69,2.69,2.878
